subject_slug,subject_title,source,chapter,chapter_title,problem_id,problem_label,kind,difficulty,page_ref,status,tags
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-16,Geometric series induction proof,proof,5,"Section 1.10","Not started","induction;series"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-17,Telescoping reciprocal induction proof,proof,3,"Section 1.10","Not started","induction;series"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-18,Divisibility induction proof,proof,3,"Section 1.10","Not started","induction;number-theory"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-19,Tree edge-count induction proof,proof,3,"Section 1.10","Not started","induction;graphs"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-20,Sum of cubes identity proof,proof,3,"Section 1.10","Not started","induction;series"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-21,Estimate owned and library pages,exercise,3,"Section 1.10","Not started","estimation"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-22,Estimate textbook word count,exercise,3,"Section 1.10","Not started","estimation"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-23,Mental estimate for one million seconds,exercise,3,"Section 1.10","Not started","estimation"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-24,Estimate US cities and towns,exercise,3,"Section 1.10","Not started","estimation"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-25,Estimate Mississippi River outflow,exercise,3,"Section 1.10","Not started","estimation"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-26,Estimate chain restaurant locations,exercise,3,"Section 1.10","Not started","estimation"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-27,Estimate bathtub draining time,exercise,3,"Section 1.10","Not started","estimation"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-28,Estimate storage and CPU time scales,exercise,3,"Section 1.10","Not started","estimation;systems"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-29,Compare sorting runtime growth,exercise,4,"Section 1.10","Not started","estimation;sorting;complexity"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-30,Implement and compare TSP heuristics,project,5,"Section 1.10","Not started","implementation;tsp;heuristics"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-31,Implement Lotto coverage search,project,5,"Section 1.10","Not started","implementation;set-cover"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-32,Integer division without division or multiplication,interview,5,"Section 1.10","Not started","interview;arithmetic"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-33,Minimum races for top three horses,interview,5,"Section 1.10","Not started","interview;reasoning"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-34,Estimate worldwide piano tuners,interview,3,"Section 1.10","Not started","interview;estimation"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-35,Estimate US gas stations,interview,3,"Section 1.10","Not started","interview;estimation"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-36,Estimate hockey rink ice weight,interview,3,"Section 1.10","Not started","interview;estimation"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-37,Estimate US road mileage,interview,3,"Section 1.10","Not started","interview;estimation"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,01,Introduction to Algorithm Design,1-38,Estimate random phone-book search attempts,interview,3,"Section 1.10","Not started","interview;estimation"
algorithm-design-manual,The Algorithm Design Manual,The Algorithm Design Manual,02,Algorithm Analysis,2.1,Add exercise title or short cue,exercise,,,"Not started","analysis"
